FirmCode,Party Reference,Roles,Linked Reference
JJ ,JJSHN001  ,PCI Connected Party,JJAYU001  
JJ ,JJSLD001  ,GIA,JJSLD001  
JJ ,JJSPLITAC ,GIA,JJSPLITAC 
JJ ,JJSTJ001  ,GIA,JJSTJ001  
JJ ,JJSTJ001  ,PCI Connected Party,JJVTS003  
JJ ,JJSYN001  ,GIA,JJSYN001  
JJ ,JJSYN001  ,Secondary,JJSYN002  
JJ ,JJTHG001  ,PCI Connected Party,JJIHT001  
JJ ,JJTHL001  ,PCI Connected Party,JJIHT002  
JJ ,JJTHS001  ,GIA,JJTHS001  
JJ ,JJTHS001  ,PCI Connected Party,JJATG001  
JJ ,JJTHT001  ,GIA,JJTHT001  
JJ ,JJTRADING ,GIA,JJTRADING 
JJ ,JJUNAP    ,GIA,JJUNAP    
JJ ,JJUTTFRS  ,GIA,JJUTTFRS  
JJ ,JJVAJ001  ,CRS Participant,JJVPJ001  
JJ ,JJVAJ001  ,CRS Participant,JJVJP001  
JJ ,JJVAJ001  ,Joint,JJVJP001  
JJ ,JJVAJ001  ,Joint,JJVPJ001  
JJ ,JJVAJ001  ,PCI Connected Party,JJVPJ001  
JJ ,JJVAJ001  ,PCI Connected Party,JJVJP001  
JJ ,JJVAJ002  ,CRS Substantial Owner,JJLEC001  
JJ ,JJVAJ002  ,PCI Connected Party,JJLEC001  
JJ ,JJVAL001  ,CRS Substantial Owner,JJLEC001  
JJ ,JJVAL001  ,PCI Connected Party,JJLEC001  
JJ ,JJVAN002  ,PCI Connected Party,JJVTS003  
JJ ,JJVAN002  ,PCI Connected Party,JJVTS001  
JJ ,JJVAN002  ,PCI Connected Party,JJVTS002  
JJ ,JJVAP001  ,CRS Participant,JJVJP001  
JJ ,JJVAP001  ,CRS Participant,JJVPJ001  
JJ ,JJVAP001  ,Joint,JJVPJ001  
JJ ,JJVAP001  ,Joint,JJVJP001  
JJ ,JJVAP001  ,PCI Connected Party,JJVPJ001  
JJ ,JJVAP001  ,PCI Connected Party,JJVJP001  
JJ ,JJVTS001  ,GIA,JJVTS001  
JJ ,JJVTS002  ,GIA,JJVTS002  
JJ ,JJVTS003  ,GIA,JJVTS003  
JJ ,JJWHS001  ,CRS Substantial Owner,JJCAS001  
JJ ,JJWHS001  ,CRS Substantial Owner,JJCAS002  
JJ ,JJWHS001  ,PCI Connected Party,JJCAS002  
JJ ,JJWHS001  ,PCI Connected Party,JJCAS001  
JJ ,JJWHW001  ,CRS Substantial Owner,JJCAS002  
JJ ,JJWHW001  ,CRS Substantial Owner,JJCAS001  
JJ ,JJWHW001  ,PCI Connected Party,JJCAS001  
JJ ,JJWHW001  ,PCI Connected Party,JJCAS002  
JJ ,JJWIH001  ,CRS Participant,JJWIK002  
JJ ,JJWIH001  ,Joint,JJWIK002  
JJ ,JJWIH001  ,PCI Connected Party,JJWIK002  
JJ ,JJWIK001  ,CRS Participant,JJWIK002  
JJ ,JJWIK001  ,Joint,JJWIK002  
JJ ,JJWIK001  ,PCI Connected Party,JJWIK002  
JJ ,JJWOA001  ,CRS Substantial Owner,JJHPH001  
JJ ,JJWOA001  ,PCI Connected Party,JJHPH001  
JJ ,JJWOA001  ,PCI Connected Party,JJEIL001  
JJ ,JJWOD001  ,CRS Substantial Owner,JJHPH001  
JJ ,JJWOD001  ,PCI Connected Party,JJEIL001  
JJ ,JJWOD001  ,PCI Connected Party,JJHPH001  
JJ ,JJWOR001  ,PCI Connected Party,JJEIL001  
JJ ,JJYAR001  ,GIA,JJYAR001  
JJ ,JJZDL     ,GIA,JJZDL     
